Year,Month,Day,Resident Population,Resident Population Plus Armed Forces Overseas,Civilian Population,Civilian Noninstitutionalized Population,Household Population
2010,April,1,308758105,309191211,307528001,303527414,300759105
2010,May,1,308943167,309367580,307708263,303708455,300932547
2010,June,1,309122946,309545555,307890277,303891249,301100707
2010,July,1,309321666,309741279,308086427,304088178,301287808
2010,August,1,309535947,309951795,308308214,304309942,301499721
2010,September,1,309763500,310168926,308526412,304528117,301724906
2010,October,1,309989569,310390859,308756374,304758056,301948607
2010,November,1,310174426,310585106,308952016,304953675,302131096
2010,December,1,310348632,310769486,309136174,305137810,302302934
2011,January,1,310538923,310946962,309321437,305323050,302490857
2011,February,1,310693489,311098039,309467867,305469457,302643055
2011,March,1,310832137,311248506,309618113,305619680,302779335
2011,April,1,311009155,311417782,309784756,305786300,302953985
2011,May,1,311183465,311587063,309957298,305958819,303125927
2011,June,1,311351195,311769648,310135634,306137132,303291289
2011,July,1,311556874,311973914,310339224,306340687,303494581
2011,August,1,311764497,312180558,310548583,306551537,303700463
2011,September,1,311997529,312402633,310773912,306778357,303931754
2011,October,1,312207836,312616001,310997310,307003246,304140320
2011,November,1,312397256,312799689,311180963,307188390,304327999
2011,December,1,312588416,312978205,311363530,307372448,304517418
2012,January,1,312786761,313149997,311551431,307561840,304714022
2012,February,1,312932963,313304120,311705635,307717535,304858483
2012,March,1,313112458,313462838,311871644,307885035,305036237
2012,April,1,313283352,313628923,312041117,308055999,305205390
2012,May,1,313446781,313790652,312210339,308226712,305367078
2012,June,1,313634392,313976041,312397944,308415808,305552948
2012,July,1,313830990,314167558,312590831,308610189,305747814
2012,August,1,314048849,314377381,312802483,308824328,305967095
2012,September,1,314282839,314600057,313025511,309049843,306202507
2012,October,1,314498196,314805556,313235942,309262761,306419286
2012,November,1,314695119,315003708,313439850,309469156,306617631
2012,December,1,314872482,315180866,313622002,309653795,306796416
2013,January,1,315035869,315335976,313791267,309825547,306961225
2013,February,1,315160296,315464793,313918559,309955326,307087074
2013,March,1,315301845,315605141,314056958,310096212,307230045
